,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Zeki Amdouni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anass Zaroury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyle Foster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Redmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Cullen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sander Berge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Brownhill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Koleosho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Bruun Larsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Beyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benson Manuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dara O'Shea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameen Al-Dakhil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Trafford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erling Haaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Foden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernardo Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julián Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin De Bruyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateo Kovačić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joško Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Aké,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aymeric Laporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Akanji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Mcatee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ederson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Nketiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leandro Trossard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Martinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Magalhães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bukayo Saka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Havertz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declan Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Ødegaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurriën Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takehiro Tomiyasu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Saliba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Partey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brennan Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Elanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Gibbs-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwo Awoniyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ola Aina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neco Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orel Mangala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheikhou Kouyaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Yates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge Aurier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott McKenna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Worrall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Boly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neal Maupay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnaut Danjuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdoulaye Doucouré,likelyReturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Iwobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadou Onana,likelyReturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idrissa Gana Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Garner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Dobbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Tarkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Keane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Pickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raúl Jiménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Mitrović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
